following per capita,median age,,,,
0.00033675,41,,,,
0.00007375,38,,,,
0.00005064,41,,,,
0.00000553,35,,,,
0.00001039,35,,,,
0.0000092,37,,,,
0.00000018,39,,,,
0.00001548,39,,,,
0.00060209,38,,,,
0.00016228,38,,,,
0.0000852,39,,,,
0.00045918,37,,,,
0.00032616,37,,,,
0.00002852,38,,,,
0.00022988,41,,,,
0.00000661,38,,,,
0.00004135,39,,,,
0.00008985,39,,,,
0.00029098,36,,,,
0.0002031,38,,,,
0.00017762,38,,,,
0.00046252,37,,,,
0.00007494,41,,,,
0.00000387,39,,,,
0.00000484,41,,,,
0.00004649,38,,,,
0.00002307,40,,,,
0.00000003,35,,,,
0.00004787,36,,,,
0.00032209,35,,,,
0.00177955,42,,,,
0.00143591,38,,,,
0.00010586,38,,,,
0.00002901,39,,,,
0.00001889,38,,,,
0.0000235,34,,,,
0.00002657,38,,,,
0.00000038,35,,,,
0.00006297,37,,,,
0.00000795,38,,,,
0.00010007,37,,,,
0.00014229,34,,,,
0.00023675,39,,,,
0.00002008,38,,,,
0.00003063,37,,,,
0.00002168,35,,,,
0.00002053,35,,,,
0.00005542,40,,,,
0.00002035,35,,,,
0.0000224,35,,,,
0.00001774,39,,,,
0.00031763,41,,,,
0.00007612,36,,,,
0.00002013,35,,,,
0.00005307,37,,,,
0.00015427,38,,,,
0.00432903,41,,,,
0.00021324,36,,,,
0.00009643,38,,,,
0.00006632,38,,,,
0.00002702,41,,,,
0.00007012,39,,,,
0.0000327,37,,,,
0.00002085,35,,,,
0.00001629,37,,,,
0.00007572,36,,,,
0.00008864,29,,,,
0.00001621,35,,,,
0.00004213,36,,,,
0.00000704,34,,,,
0.00032678,37,,,,
0.00002596,39,,,,
0.00025082,36,,,,
0.00129854,40,,,,
0.00001846,39,,,,
0.0000475,39,,,,
0.00010217,39,,,,
0.00002173,40,,,,
0.00003924,36,,,,
0.00006187,38,,,,
0.00022112,36,,,,
0.00002072,35,,,,
0.0002416,39,,,,
0.00003718,36,,,,
0.00000243,37,,,,
0.00000557,38,,,,
0.00012307,37,,,,
0.00037738,38,,,,
0.00000166,35,,,,
0.00001372,34,,,,
0.0000008,34,,,,
0.00002306,35,,,,
0,37,,,,
0.00000346,35,,,,
0.00002904,38,,,,
0.00009302,36,,,,
0.00003825,38,,,,
0.00006526,38,,,,
0.00003915,38,,,,
0.00005297,38,,,,
0.00004511,35,,,,
0.00003238,39,,,,
0.00119753,39,,,,
0.00077765,38,,,,
0.0013952,38,,,,
0.00001713,41,,,,
0.00005271,41,,,,
0.00021536,37,,,,
0.00009033,38,,,,
0.00002668,37,,,,
0.00000298,34,,,,
0.00001898,39,,,,
0.0000033,34,,,,
0.00003451,39,,,,
0.00045211,34,,,,
0.00004771,38,,,,
0.00019488,36,,,,
0.00005136,37,,,,
0.00000037,41,,,,
