State and Age,Total Population,Total Citizen Population,Registered,,,,,Total Voted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Registered,Percent registered (Total 18+),Margin of error1,Percent registered (Citizen 18+),Margin of error1,Total Voted,Percent voted (Total 18+),Margin of error1,Percent voted (Citizen 18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,,,,,,,,,,,,,,,
.Total,"9,521","8,681","6,151",64.6,1.5,70.9,1.4,"5,436",57.1,1.5,62.6,1.5,,,
.18 to 24,"1,267","1,162",694,54.8,4.2,59.7,4.1,585,46.1,4.2,50.3,4.2,,,
.25 to 44,"3,502","3,020","2,091",59.7,2.5,69.2,2.3,"1,852",52.9,2.5,61.3,2.5,,,
.45 to 64,"3,227","3,026","2,274",70.5,2.4,75.1,2.3,"2,036",63.1,2.5,67.3,2.5,,,
.65 to 74,748,720,540,72.1,4.9,75.0,4.7,494,66.0,5.2,68.7,5.1,,,
.75+,777,752,553,71.2,4.9,73.5,4.7,469,60.4,5.3,62.3,5.2,,,
INDIANA,,,,,,,,,,,,,,,
.Total,"4,686","4,562","3,105",66.3,2.1,68.1,2.0,"2,758",58.8,2.1,60.5,2.1,,,
.18 to 24,522,520,304,58.1,6.4,58.4,6.4,222,42.6,6.4,42.7,6.4,,,
.25 to 44,"1,739","1,643","1,066",61.3,3.5,64.9,3.4,955,54.9,3.6,58.1,3.5,,,
.45 to 64,"1,660","1,640","1,177",70.9,3.3,71.7,3.3,"1,092",65.8,3.5,66.6,3.4,,,
.65 to 74,427,424,311,72.8,6.4,73.3,6.4,285,66.7,6.8,67.1,6.8,,,
.75+,337,334,247,73.3,7.2,73.9,7.1,204,60.5,7.9,61,7.9,,,
IOWA,,,,,,,,,,,,
.Total,"2,244","2,137","1,630",72.6,2.4,76.3,2.3,"1,501",66.9,2.5,70.2,2.4
.18 to 24,248,231,168,67.9,7.4,72.7,7.1,147,59.2,7.8,63.5,7.7
.25 to 44,789,719,518,65.6,4.2,72.1,4.0,470,59.6,4.4,65.5,4.3
.45 to 64,821,805,627,76.4,3.7,77.9,3.6,593,72.3,3.9,73.7,3.9
.65 to 74,226,224,188,83.0,6.3,84.0,6.1,179,78.9,6.8,79.8,6.7
.75+,159,158,129,81.0,7.8,81.7,7.7,112,70.0,9.1,70.6,9.1
KANSAS,,,,,,,,,,,,
.Total,"2,037","1,926","1,343",65.9,2.5,69.7,2.5,"1,219",59.8,2.6,63.3,2.6
.18 to 24,262,251,124,47.3,7.5,49.4,7.5,108,41.3,7.4,43.1,7.4
.25 to 44,718,652,419,58.4,4.5,64.2,4.3,368,51.3,4.5,56.4,4.5
.45 to 64,742,713,545,73.5,3.9,76.5,3.8,509,68.7,4.1,71.5,4.0
.65 to 74,154,151,125,81.3,7.6,82.7,7.4,116,75.5,8.4,76.8,8.2
.75+,162,159,129,80.1,7.6,81.5,7.4,117,72.5,8.5,73.8,8.4
KENTUCKY,,,,,,,,,,,,
.Total,"3,179","3,094","2,259",71.1,2.4,73.0,2.3,"1,952",61.4,2.6,63.1,2.5
.18 to 24,391,379,230,58.9,7.4,60.8,7.3,183,46.9,7.5,48.4,7.5
.25 to 44,"1,118","1,058",764,68.3,4.1,72.2,4.0,652,58.3,4.4,61.6,4.3
.45 to 64,"1,145","1,135",848,74.0,3.8,74.7,3.8,754,65.9,4.2,66.4,4.1
.65 to 74,326,324,256,78.4,6.8,78.9,6.7,225,69.0,7.6,69.5,7.6
.75+,198,198,160,81.2,8.3,81.2,8.3,138,69.7,9.7,69.7,9.7
LOUISIANA,,,,,,,,,,,,
.Total,"3,161","3,056","2,393",75.7,2.3,78.3,2.2,"2,149",68.0,2.4,70.3,2.4
.18 to 24,335,322,197,58.8,7.9,61.2,7.9,165,49.2,8.1,51.2,8.1
.25 to 44,"1,223","1,169",902,73.8,3.7,77.2,3.5,796,65.0,4.0,68.1,3.9
.45 to 64,"1,111","1,080",872,78.5,3.6,80.8,3.5,791,71.2,4.0,73.3,3.9
.65 to 74,260,257,222,85.1,6.5,86.1,6.3,216,82.8,6.9,83.8,6.7
.75+,231,228,200,86.6,6.6,87.6,6.4,182,78.8,7.9,79.7,7.8
MAINE,,,,,,,,,,,,
.Total,"1,020","1,005",801,78.5,2.3,79.7,2.3,716,70.2,2.6,71.2,2.6
.18 to 24,105,105,64,61.0,8.7,61.3,8.7,57,54.5,8.9,54.7,8.9
.25 to 44,322,313,242,75.2,4.4,77.3,4.3,212,65.8,4.8,67.6,4.8
.45 to 64,409,404,334,81.6,3.5,82.8,3.4,300,73.3,4.0,74.3,3.9
.65 to 74,104,104,93,89.0,5.6,89.4,5.5,85,81.7,6.9,82.1,6.9
.75+,80,79,68,85.3,7.2,85.8,7.1,62,77.1,8.6,77.6,8.5
MARYLAND,,,,,,,,,,,,
.Total,"4,218","3,824","2,828",67.0,2.2,73.9,2.1,"2,611",61.9,2.3,68.3,2.2
.18 to 24,566,505,286,50.5,6.4,56.6,6.3,251,44.2,6.3,49.6,6.4
.25 to 44,"1,482","1,272",945,63.8,3.8,74.3,3.4,863,58.2,3.9,67.8,3.7
.45 to 64,"1,532","1,430","1,118",73.0,3.4,78.2,3.2,"1,066",69.6,3.6,74.5,3.4
.65 to 74,332,325,258,77.7,6.9,79.3,6.8,244,73.6,7.4,75.1,7.2
.75+,305,291,220,72.1,7.8,75.6,7.5,188,61.4,8.5,64.5,8.3
MASSACHUSETTS,,,,,,,,,,,,
.Total,"4,962","4,533","3,293",66.4,2.0,72.6,1.9,"3,044",61.3,2.1,67.1,2.0
.18 to 24,589,553,296,50.2,6.1,53.5,6.1,253,43.0,6.1,45.8,6.1
.25 to 44,"1,796","1,510","1,011",56.3,3.5,66.9,3.3,943,52.5,3.5,62.5,3.4
.45 to 64,"1,686","1,617","1,270",75.3,3.1,78.5,3.0,"1,196",70.9,3.3,74,3.2
.65 to 74,380,354,302,79.5,6.2,85.3,5.4,273,71.9,6.9,77.1,6.4
.75+,510,500,415,81.3,5.1,82.9,5.0,378,74.2,5.8,75.7,5.7
MICHIGAN,,,,,,,,,,,,
.Total,"7,487","7,176","5,531",73.9,1.5,77.1,1.5,"4,865",65.0,1.7,67.8,1.6
.18 to 24,937,892,610,65.1,4.7,68.3,4.6,455,48.6,4.9,51,4.9
.25 to 44,"2,571","2,408","1,881",73.1,2.6,78.1,2.4,"1,642",63.8,2.8,68.2,2.8
.45 to 64,"2,664","2,576","1,998",75.0,2.5,77.6,2.4,"1,818",68.3,2.7,70.6,2.7
.65 to 74,696,694,549,78.8,4.7,79.1,4.6,510,73.2,5.0,73.5,5.0
.75+,619,606,494,79.8,4.8,81.5,4.7,440,71.1,5.5,72.6,5.4
MINNESOTA,,,,,,,,,,,,
.Total,"3,898","3,678","2,931",75.2,2.1,79.7,1.9,"2,759",70.8,2.2,75,2.1
.18 to 24,476,444,306,64.3,6.5,69.0,6.3,279,58.6,6.7,62.9,6.6
.25 to 44,"1,401","1,249",979,69.9,3.6,78.4,3.3,919,65.6,3.8,73.6,3.5
.45 to 64,"1,379","1,348","1,106",80.2,3.2,82.0,3.1,"1,049",76.1,3.4,77.8,3.3
.65 to 74,334,330,285,85.6,5.7,86.5,5.6,267,80.0,6.5,80.8,6.4
.75+,309,308,254,82.3,6.5,82.6,6.4,245,79.3,6.9,79.6,6.8
MISSISSIPPI,,,,,,,,,,,,
.Total,"2,109","2,064","1,589",75.3,2.3,77.0,2.2,"1,439",68.2,2.4,69.7,2.4,,,
.18 to 24,320,303,198,62.0,6.6,65.3,6.4,158,49.5,6.8,52.2,6.7,,,
.25 to 44,710,689,522,73.5,4.0,75.7,3.9,481,67.7,4.2,69.7,4.2,,,
.45 to 64,752,746,589,78.3,3.6,78.9,3.6,550,73.2,3.9,73.8,3.9,,,
.65 to 74,178,178,157,87.9,5.9,87.9,5.9,144,80.6,7.1,80.6,7.1,,,
.75+,149,147,124,82.9,7.4,84.3,7.2,106,70.8,9.0,72,8.9,,,
MISSOURI,,,,,,,,,,,,,,,
.Total,"4,430","4,326","3,224",72.8,2.0,74.5,2.0,"2,846",64.2,2.2,65.8,2.2,,,
.18 to 24,551,544,377,68.5,6.0,69.4,5.9,304,55.2,6.4,56,6.4,,,
.25 to 44,"1,560","1,480","1,047",67.1,3.6,70.7,3.5,912,58.4,3.8,61.6,3.7,,,
.45 to 64,"1,601","1,588","1,230",76.8,3.2,77.4,3.2,"1,132",70.7,3.4,71.3,3.4,,,
.65 to 74,398,396,326,81.9,5.8,82.4,5.8,296,74.3,6.6,74.8,6.6,,,
.75+,319,317,244,76.4,7.2,77.0,7.1,202,63.2,8.2,63.6,8.1,,,
MONTANA 2,,,,,,,,,,,,,,,
.Total,731,724,516,70.6,2.4,71.3,2.4,473,64.7,2.5,65.4,2.5,,,
.18 to 44,319,314,197,61.7,3.8,62.8,3.8,172,54.1,3.9,55.0,3.9,,,
.45 to 64,252,250,190,75.5,3.8,75.9,3.8,180,71.4,4.0,71.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
