RepKenMarchant,Rep,Kenny,Marchant,R,TX,M,62,4130,49,8996,2239
cathymcmorris,Rep,Cathy,McMorris Rodgers,R,WA,F,43,2889,52,14279,5131
RepGwenMoore,Rep,Gwen,Moore,D,WI,F,61,1769,49,7883,339
DorisMatsui,Rep,Doris,Matsui,D,CA,F,68,611,47,4421,1387
GOPWhip,Rep,Kevin,McCarthy,R,CA,M,48,4124,51,34831,11028
RepMcNerney,Rep,Jerry,McNerney,D,CA,M,61,301,18,1618,174
mccaskilloffice,Sen,Claire,McCaskill,D,MO,F,59,1539,45,3972,1410
RepDanMaffei,Rep,Daniel,Maffei,D,NY,M,44,156,3,562,6
SenJeffMerkley,Sen,Jeff,Merkley,D,OR,M,56,1013,48,18173,82
RepMcClintock,Rep,Tom,McClintock,R,CA,M,56,152,46,5829,0
RepTomMarino,Rep,Tom,Marino,R,PA,M,60,945,27,3443,371
RepMcKinley,Rep,David,McKinley,R,WV,M,66,722,27,3315,185
repmeehan,Rep,Patrick,Meehan,R,PA,M,57,686,26,3294,505
repmickmulvaney,Rep,Mick,Mulvaney,R,SC,M,45,521,27,4842,4113
Sen_JoeManchin,Sen,Joe,Manchin,D,WV,M,65,915,27,10873,742
RepSeanMaloney,Rep,Sean,Maloney,D,NY,M,46,217,3,695,272
RepMarkMeadows,Rep,Mark,Meadows,R,NC,M,53,95,4,1177,1495
RepGraceMeng,Rep,Grace,Meng,D,NY,F,37,239,3,1082,315
RepLukeMesser,Rep,Luke,Messer,R,IN,M,44,152,3,806,129
RepMullin,Rep,Markwayne,Mullin,R,OK,M,35,144,3,1151,1042
RepMurphyFL,Rep,Patrick,Murphy,D,FL,M,30,94,2,481,45
RepJerryNadler,Rep,Jerrold,Nadler,D,NY,M,65,396,47,4474,775
RepRichardNeal,Rep,Richard,Neal,D,MA,M,64,244,15,1504,12
SenBillNelson,Sen,Bill,Nelson,D,FL,M,70,390,50,29000,73
usrepricknolan,Rep,Richard,Nolan,D,MN,M,69,108,3,779,5
