Rep,John,Linder,R,GA,0,M,70
Rep,Frank,Lucas,R,OK,1,M,53
Sen,Richard,Lugar,R,IN,0,M,81
Rep,Daniel,Lungren,R,CA,0,M,66
Rep,Ray,LaHood,R,IL,0,M,67
Rep,Steven,LaTourette,R,OH,0,M,58
Rep,Daniel,Lipinski,D,IL,1,M,46
Rep,Leonard,Lance,R,NJ,1,M,60
Rep,Christopher,Lee,R,NY,0,M,49
Rep,Blaine,Luetkemeyer,R,MO,1,M,61
Sen,George,LeMieux,R,FL,0,M,43
Rep,Jeff,Landry,R,LA,0,M,42
Rep,Billy,Long,R,MO,1,M,57
Rep,James,McCrery,R,LA,0,M,63
Rep,John,McHugh,R,NY,0,M,64
Rep,Michael,McNulty,D,NY,0,M,65
Rep,Martin,Meehan,D,MA,0,M,56
Rep,John,Mica,R,FL,1,M,70
Rep,Juanita,Millender-McDonald,D,CA,0,F,74
Rep,Alan,Mollohan,D,WV,0,M,70
Rep,John,Murtha,D,PA,0,M,80
Rep,Sue,Myrick,R,NC,0,F,71
Rep,Donald,Manzullo,R,IL,0,M,69
Rep,Dennis,Moore,D,KS,0,M,67
Rep,Jeff,Miller,R,FL,1,M,53
Rep,James,Marshall,D,GA,0,M,65
Rep,Thaddeus,McCotter,R,MI,0,M,47
Rep,Kendrick,Meek,D,FL,0,M,46
Rep,Marilyn,Musgrave,R,CO,0,F,64
Rep,R.,Miller,D,NC,0,M,59
Rep,Connie,Mack,R,FL,0,M,45
Rep,Charles,Melancon,D,LA,0,M,65
Sen,Mel,Martinez,R,FL,0,M,66
Rep,Tim,Mahoney,D,FL,0,M,56
Rep,Harry,Mitchell,D,AZ,0,M,72
Rep,Patrick,Murphy,D,PA,0,M,39
Sen,Christopher,Murphy,D,CT,1,M,39
Rep,Betsy,Markey,D,CO,0,F,57
Rep,Eric,Massa,D,NY,0,M,53
Rep,Michael,McMahon,D,NY,0,M,55
Rep,Walter,Minnick,D,ID,0,M,70
Rep,Scott,Murphy,D,NY,0,M,43
Rep,Thomas,Massie,R,KY,1,M,42
Rep,Charles,Norwood,R,GA,0,M,71
Sen,Ben,Nelson,D,NE,0,M,71
Rep,Glenn,Nye,D,VA,0,M,38
Rep,James,Oberstar,D,MN,0,M,78
Rep,David,Obey,D,WI,0,M,74
Rep,John,Olver,D,MA,0,M,76
Rep,Solomon,Ortiz,D,TX,0,M,75
Sen,Barack,Obama,D,IL,0,M,51
Rep,Ed,Pastor,D,AZ,1,M,69
Rep,Donald,Payne,D,NJ,0,M,78
Rep,Collin,Peterson,D,MN,1,M,68
Rep,John,Peterson,R,PA,0,M,74
Rep,Thomas,Petri,R,WI,1,M,72
Rep,Charles,Pickering,R,MS,0,M,49
Rep,Earl,Pomeroy,D,ND,0,M,60
Rep,Deborah,Pryce,R,OH,0,F,61
Rep,Ronald,Paul,R,TX,0,M,77
Rep,Todd,Platts,R,PA,0,M,51
Rep,Adam,Putnam,R,FL,0,M,38
Rep,Mike,Pence,R,IN,0,M,53
Rep,Jon,Porter,R,NV,0,M,58
Rep,Thomas,Perriello,D,VA,0,M,38
Rep,Mark,Pocan,D,WI,1,M,48
Rep,Ben,Quayle,R,AZ,0,M,36
Rep,George,Radanovich,R,CA,0,M,57
Rep,Nick,Rahall,D,WV,1,M,63
Rep,James,Ramstad,R,MN,0,M,67
Rep,Ralph,Regula,R,OH,0,M,88
Rep,Silvestre,Reyes,D,TX,0,M,68
Rep,Dana,Rohrabacher,R,CA,1,M,65
Rep,Steven,Rothman,D,NJ,0,M,60
Rep,Ciro,Rodriguez,D,TX,0,M,66
Rep,Thomas,Reynolds,R,NY,0,M,62
Rep,Dennis,Rehberg,R,MT,0,M,57
Rep,Mike,Ross,D,AR,0,M,51
Rep,Rick,Renzi,R,AZ,0,M,54
Rep,Laura,Richardson,D,CA,0,F,51
Sen,James,Risch,R,ID,1,M,70
Rep,David,Rivera,R,FL,0,M,47
Rep,Trey,Radel,R,FL,1,M,37
Rep,H.,Saxton,R,NJ,0,M,70
Rep,John,Shadegg,R,AZ,0,M,63
Rep,Ike,Skelton,D,MO,0,M,81
Rep,Christopher,Smith,R,NJ,1,M,60
Sen,Olympia,Snowe,R,ME,0,F,66
Rep,Victor,Snyder,D,AR,0,M,65
Sen,Arlen,Specter,D,PA,0,M,83
Rep,John,Spratt,D,SC,0,M,70
Rep,Fortney,Stark,D,CA,0,M,81
Rep,Clifford,Stearns,R,FL,0,M,72
Sen,Ted,Stevens,R,AK,0,M,89
Rep,Bart,Stupak,D,MI,0,M,61
Sen,John,Sununu,R,NH,0,M,48
Sen,Gordon,Smith,R,OR,0,M,60
Rep,Mark,Souder,R,IN,0,M,62
Rep,Christopher,Shays,R,CT,0,M,67
Rep,Hilda,Solis,D,CA,0,F,55
Rep,John,Sullivan,R,OK,0,M,48
Rep,John,Salazar,D,CO,0,M,59
Rep,Allyson,Schwartz,D,PA,1,F,64
Sen,Ken,Salazar,D,CO,0,M,58
Rep,Jean,Schmidt,R,OH,0,F,61
Rep,Bill,Sali,R,ID,0,M,59
Rep,John,Sarbanes,D,MD,1,M,50
Rep,Joe,Sestak,D,PA,0,M,61
Rep,Heath,Shuler,D,NC,0,M,41
Rep,Zachary,Space,D,OH,0,M,52
Rep,Betty,Sutton,D,OH,0,F,49
Rep,Steve,Scalise,R,LA,1,M,47
Rep,Gregorio,Sablan,D,MP,1,M,58
Rep,Mark,Schauer,D,MI,0,M,51
Rep,Robert,Schilling,R,IL,0,M,49
Sen,Brian,Schatz,D,HI,1,M,40
Rep,John,Tanner,D,TN,0,M,68
Rep,Ellen,Tauscher,D,CA,0,F,61
Rep,Gene,Taylor,D,MS,0,M,59
Rep,Todd,Tiahrt,R,KS,0,M,61
Rep,Edolphus,Towns,D,NY,0,M,78
Rep,Thomas,Tancredo,R,CO,0,M,67
Rep,Mike,Thompson,D,CA,1,M,62
Sen,Jon,Tester,D,MT,1,M,56
Rep,Harry,Teague,D,NM,0,M,63
Rep,Robert,Turner,R,NY,0,M,72
Sen,George,Voinovich,R,OH,0,M,76
Sen,David,Vitter,R,LA,1,M,52
Rep,Juan,Vargas,D,CA,1,M,52
Rep,James,Walsh,R,NY,0,M,65
Rep,Zach,Wamp,R,TN,0,M,55
Sen,John,Warner,R,VA,0,M,86
Rep,David,Weldon,R,FL,0,M,59
Rep,Gerald,Weller,R,IL,0,M,55
Rep,Robert,Wexler,D,FL,0,M,52
Rep,Lynn,Woolsey,D,CA,0,F,75
Rep,Albert,Wynn,D,MD,0,M,61
Rep,Heather,Wilson,R,NM,0,F,52
Rep,Anthony,Weiner,D,NY,0,M,48
Rep,David,Wu,D,OR,0,M,58
Rep,Diane,Watson,D,CA,0,F,79
Rep,Debbie,Wasserman Schultz,D,FL,1,F,46
Rep,Timothy,Walz,D,MN,1,M,49
Rep,Peter,Welch,D,VT,1,M,66
Rep,Charles,Wilson,D,OH,0,M,70
Sen,Jim,Webb,D,VA,0,M,67
Rep,Allen,West,R,FL,0,M,52
Rep,Rob,Woodall,R,GA,1,M,43
Rep,Joe,Walsh,R,IL,0,M,51
Rep,C.,Young,R,FL,1,M,82
