repjoseserrano,53
RepJudyChu,61
repjustinamash,112
RepKarenBass,22
RepKayGranger,8
RepKenMarchant,28
repkerryb,33
RepKevinBrady,28
RepKevinCramer,7
RepKevinYoder,28
RepKinzinger,24
RepKirkpatrick,26
repkristinoem,7
RepLaMalfa,46
replankford,68
RepLarryBucshon,32
replindasanchez,105
RepLloydDoggett,73
RepLoBiondo,49
RepLoisCapps,56
RepLoisFrankel,25
RepLouBarletta,1
replouiegohmert,25
RepLowenthal,8
replujangrisham,48
RepLukeMesser,29
RepLynnJenkins,29
RepMaloney,46
RepMarciaFudge,6
RepMarcyKaptur,15
RepMarkMeadows,36
RepMarkTakano,18
RepMarthaRoby,29
RepMattSalmon,99
RepMcCarthyNY,16
RepMcClintock,5
RepMcGovern,20
RepMcKinley,1
RepMcLeod,31
RepMcNerney,27
repmeehan,12
RepMGriffith,31
repmichaelgrimm,30
repmickmulvaney,42
RepMikeCoffman,18
RepMikeHonda,17
repmikemcintyre,27
RepMikeMichaud,3
repmikepompeo,36
RepMikeQuigley,15
RepMikeRogers,77
RepMikeRogersAL,10
RepMikeTurner,41
RepMoBrooks,15
RepMullin,34
RepMurphyFL,30
RepPaulBrounMD,27
RepPaulCook,5
reppaulryan,1
RepPerlmutter,9
RepPeteGallego,43
RepPeteKing,16
RepPeterDeFazio,40
RepPhilGingrey,20
RepPittenger,10
RepPolisPress,124
repraulgrijalva,18
RepReneeEllmers,61
RepRibble,22
RepRichardHanna,18
RepRichardNeal,0
RepRichHudson,37
reprichmond,28
RepRichNugent,1
RepRickCrawford,30
RepRickLarsen,104
RepRobBishop,0
RepRobertHurt,8
RepRonBarber,39
repronkind,35
RepRoybalAllard,25
RepRWilliams,24
RepSamFarr,19
repsandylevin,85
RepSchneider,53
repschrader,30
RepScottPerry,9
RepScottPeters,38
repscottrigell,20
RepSeanDuffy,13
RepSeanMaloney,25
RepSheaPorter,3
RepShelley,33
RepShimkus,34
RepSinema,96
repspeier,15
RepStephenLynch,8
RepSteveChabot,24
RepSteveIsrael,17
RepStevePearce,9
RepSteveStivers,49
RepStutzman,17
repswalwell,21
repteddeutch,65
RepTedYoho,20
RepTerriSewell,16
RepTierney,65
RepTimGriffin,27
RepTimMurphy,57
RepTimRyan,15
RepTipton,38
RepToddYoung,26
RepTomCotton,35
reptomgraves,17
RepTomMarino,23
RepTomPrice,28
RepTomReed,3
RepTomRice,27
RepTrentFranks,23
RepVeasey,39
repvisclosky,37
RepWalberg,24
RepWalorski,13
RepWalterJones,20
RepWebster,26
repwestmoreland,11
RepWilson,47
RepWOLFPress,6
RepZoeLofgren,31
Rep_Adam_Smith,61
Rep_Albio_Sires,9
Rep_DevinNunes,0
Rep_JaniceHahn,23
Rep_Southerland,12
Rep_SteveWomack,73
Robert_Aderholt,42
robportman,4
RobWittman,62
RodneyDavis,31
RonWyden,21
rosadelauro,66
