M,8872,,F,849,M,522,,,,,
F,805,,F,11999,M,22141,,,,,
M,604,,F,154,M,1467,,,,,
M,2863,,F,2340,M,153,,,,,
M,33,,F,393,M,728,,,,,
M,8364,,F,758,M,66,,,,,
M,263,,F,418,M,298,,,,,
M,348,,F,750,M,103,,,,,
M,1422,,F,5697,M,408,,,,,
M,1390,,F,317,M,396,,,,,
M,275,,F,484,M,30,,,,,
F,2282,,F,669,M,291,,,,,
M,296,,F,106,M,69,,,,,
M,1735,,F,108,M,209,,,,,
M,169,,F,859,M,210,,,,,
M,363,,F,991,M,1875,,,,,
M,522,,F,541,M,542,,,,,
M,22141,,F,173,M,954,,,,,
M,1467,,F,226,M,265,,,,,
M,153,,,,M,29,,,,,
F,816,,,,M,684,,,,,
M,728,,,,M,134,,,,,
M,66,,,,M,249,,,,,
M,298,,,,M,834,,,,,
M,103,,,,M,1058,,,,,
M,408,,,,M,2560,,,,,
M,396,,,,M,1118,,,,,
M,30,,,,M,398,,,,,
M,291,,,,M,37,,,,,
M,69,,,,M,311,,,,,
M,209,,,,M,71,,,,,
M,210,,,,M,947,,,,,
M,1875,,,,M,229,,,,,
M,542,,,,M,234,,,,,
F,7052,,,,M,1549,,,,,
F,602,,,,M,11,,,,,
M,954,,,,M,405,,,,,
M,265,,,,M,875,,,,,
M,29,,,,M,199,,,,,
M,684,,,,M,5062,,,,,
M,134,,,,M,1183,,,,,
M,249,,,,M,2109,,,,,
M,834,,,,M,25,,,,,
M,1058,,,,M,1012,,,,,
M,2560,,,,M,165,,,,,
M,1118,,,,M,499,,,,,
M,398,,,,M,620,,,,,
F,193,,,,M,708,,,,,
M,37,,,,M,1230,,,,,
M,311,,,,M,144,,,,,
M,71,,,,M,2144,,,,,
M,947,,,,M,14948,,,,,
F,1278,,,,M,49,,,,,
M,229,,,,M,152,,,,,
F,225,,,,M,107,,,,,
M,234,,,,M,184,,,,,
M,1549,,,,M,1028,,,,,
F,187,,,,M,223,,,,,
F,4373,,,,M,268,,,,,
M,11,,,,M,21,,,,,
F,396,,,,M,6006,,,,,
M,405,,,,M,3007,,,,,
M,875,,,,M,402,,,,,
F,122,,,,M,3237,,,,,
M,199,,,,M,161,,,,,
M,5062,,,,M,2416,,,,,
M,1183,,,,M,349,,,,,
M,2109,,,,M,3531,,,,,
F,1214,,,,M,370,,,,,
M,25,,,,M,68,,,,,
M,1012,,,,M,226,,,,,
F,1122,,,,M,61,,,,,
M,165,,,,M,378,,,,,
M,499,,,,M,37,,,,,
M,620,,,,M,367,,,,,
M,708,,,,M,1568,,,,,
M,1230,,,,M,190,,,,,
F,167,,,,M,216,,,,,
F,100,,,,M,1147,,,,,
M,144,,,,M,540,,,,,
M,2144,,,,M,371,,,,,
F,886,,,,M,11,,,,,
M,14948,,,,M,615,,,,,
M,49,,,,M,332,,,,,
M,152,,,,M,188,,,,,
M,107,,,,M,73,,,,,
M,184,,,,M,1384,,,,,
M,1028,,,,M,2660,,,,,
M,223,,,,M,1682,,,,,
M,268,,,,M,456,,,,,
M,21,,,,M,44,,,,,
M,6006,,,,M,0,,,,,
M,3007,,,,M,118,,,,,
M,402,,,,M,443,,,,,
