M,14.4074,,,,,M,37.8519,,,,
M,76.3333,,,,,M,26.5185,,,,
M,74,,,,,M,1.0781,,,,
M,4.3333,,,,,M,52.5,,,,
M,35.75,,,,,M,40.4,,,,
M,41,,,,,M,114.3333,,,,
M,102.6667,,,,,M,10.697,,,,
M,7.0385,,,,,M,15.4348,,,,
F,15,,,,,M,73.623,,,,
F,41.4571,,,,,M,8.6667,,,,
M,43.0526,,,,,M,10.0294,,,,
M,25.4412,,,,,M,91.913,,,,
M,7.2128,,,,,M,8.1964,,,,
M,65.3846,,,,,M,36.2931,,,,
M,21,,,,,M,16.7143,,,,
M,23.4828,,,,,M,20.1961,,,,
M,21.5714,,,,,M,17.4074,,,,
M,40.3077,,,,,M,73.5,,,,
M,34.2963,,,,,M,15.2381,,,,
M,37.8519,,,,,M,24.5769,,,,
M,26.5185,,,,,M,33.6667,,,,
F,31.25,,,,,M,48.6154,,,,
M,1.0781,,,,,M,64.4074,,,,
M,52.5,,,,,M,30.0213,,,,
M,40.4,,,,,M,37.8983,,,,
M,114.3333,,,,,M,39.5385,,,,
F,61.6667,,,,,M,4.1053,,,,
M,10.697,,,,,M,34.7917,,,,
F,17.9231,,,,,M,51.25,,,,
M,15.4348,,,,,M,12.3404,,,,
M,73.623,,,,,M,31.4583,,,,
F,43.0952,,,,,M,22.4792,,,,
F,82.2414,,,,,M,33.16,,,,
M,8.6667,,,,,M,4.1471,,,,
F,43,,,,,M,126.439,,,,
M,10.0294,,,,,M,51.3548,,,,
M,91.913,,,,,M,15.8889,,,,
F,45.1429,,,,,M,39.4074,,,,
M,8.1964,,,,,M,3.8519,,,,
M,36.2931,,,,,M,99.1852,,,,
M,16.7143,,,,,M,34.3704,,,,
M,20.1961,,,,,M,151.5667,,,,
F,31.7455,,,,,M,20.3333,,,,
M,17.4074,,,,,M,6.8148,,,,
M,73.5,,,,,M,103.3333,,,,
F,35.2353,,,,,M,43.6316,,,,
M,15.2381,,,,,M,22,,,,
M,24.5769,,,,,M,33.08,,,,
M,33.6667,,,,,M,24.9259,,,,
M,48.6154,,,,,M,77.28,,,,
M,64.4074,,,,,M,12.2364,,,,
F,44.6667,,,,,M,7.1569,,,,
F,46.6667,,,,,M,78.0625,,,,
M,30.0213,,,,,M,49.8,,,,
M,37.8983,,,,,M,26.6735,,,,
F,26.2424,,,,,M,63,,,,
M,39.5385,,,,,M,60.5,,,,
M,4.1053,,,,,M,48.2593,,,,
M,34.7917,,,,,M,65.5,,,,
M,51.25,,,,,M,53,,,,
M,12.3404,,,,,M,93.2593,,,,
M,31.4583,,,,,M,88.2593,,,,
M,22.4792,,,,,M,37.1852,,,,
M,33.16,,,,,M,40.6667,,,,
M,4.1471,,,,,M,7.3889,,,,
M,126.439,,,,,M,42.3333,,,,
M,51.3548,,,,,M,34.6667,,,,
M,15.8889,,,,,M,15.8333,,,,
M,39.4074,,,,,M,66.6,,,,
M,3.8519,,,,,M,15,,,,
M,99.1852,,,,,M,70.1,,,,
M,34.3704,,,,,M,275.46,,,,
M,151.5667,,,,,M,21.42,,,,
M,20.3333,,,,,M,6.4615,,,,
M,6.8148,,,,,M,38.6538,,,,
F,29.3333,,,,,M,13.4694,,,,
M,103.3333,,,,,M,24.8776,,,,
M,43.6316,,,,,M,14.5192,,,,
M,22,,,,,M,18.3333,,,,
M,33.08,,,,,M,42.6207,,,,
M,24.9259,,,,,M,24.4444,,,,
M,77.28,,,,,M,97.5,,,,
M,12.2364,,,,,M,9.5789,,,,
M,7.1569,,,,,M,26.0769,,,,
M,78.0625,,,,,M,19.9583,,,,
M,49.8,,,,,M,69.8966,,,,
F,66.3659,,,,,M,13.3261,,,,
M,26.6735,,,,,M,32.814,,,,
M,63,,,,,M,14.8148,,,,
M,60.5,,,,,M,14.2,,,,
F,44.814,,,,,M,18.5357,,,,
F,21.5185,,,,,M,86,,,,
M,48.2593,,,,,M,48.6667,,,,
M,65.5,,,,,M,19.6667,,,,
F,54.963,,,,,M,64.6667,,,,
M,53,,,,,M,8.803,,,,
F,3.0385,,,,,M,46.9167,,,,
M,93.2593,,,,,M,62.7308,,,,
M,88.2593,,,,,M,8.325,,,,
M,37.1852,,,,,M,11.4082,,,,
M,40.6667,,,,,M,15.6458,,,,
M,7.3889,,,,,M,40.1481,,,,
F,26.15,,,,,M,18.3696,,,,
M,42.3333,,,,,M,14.3725,,,,
M,34.6667,,,,,M,56.8824,,,,
M,15.8333,,,,,M,7.8636,,,,
M,66.6,,,,,M,26.8,,,,
M,15,,,,,M,3.6923,,,,
F,80.6667,,,,,M,62.4912,,,,
M,70.1,,,,,M,14.0588,,,,
M,275.46,,,,,M,19.5385,,,,
M,21.42,,,,,M,58.2143,,,,
F,17.0476,,,,,M,46.4634,,,,
F,100.4545,,,,,M,36.3333,,,,
M,6.4615,,,,,M,55.3333,,,,
M,38.6538,,,,,M,48.06,,,,
M,13.4694,,,,,M,94.3725,,,,
M,24.8776,,,,,M,53.5769,,,,
M,14.5192,,,,,M,100.8095,,,,
F,53.2745,,,,,M,30.3611,,,,
M,18.3333,,,,,M,37.2759,,,,
M,42.6207,,,,,M,23.0909,,,,
M,24.4444,,,,,M,40.7843,,,,
M,97.5,,,,,M,21.3429,,,,
F,12.3636,,,,,M,18.087,,,,
M,9.5789,,,,,M,28.0196,,,,
M,26.0769,,,,,M,17.4694,,,,
M,19.9583,,,,,M,4.6765,,,,
M,69.8966,,,,,M,22.1739,,,,
M,13.3261,,,,,M,7.84,,,,
M,32.814,,,,,M,17.3947,,,,
F,78,,,,,M,30.5714,,,,
