gender,followers per capita,,gender,followers per capita,,gender,followers per capita,,,,,
M,0.005,,,,,M,0.0003,,,,,
M,0.0003,,,,,M,0.0024,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0.0004,,,,,M,0.0007,,,,,
M,0.002,,,,,M,0.0006,,,,,
F,0.0049,,,,,M,0.0008,,,,,
M,0.0029,,,,,M,0.0013,,,,,
M,0.0004,,,,,M,0.0047,,,,,
M,0.0025,,,,,M,0.0009,,,,,
F,0.0014,,,,,M,0.0004,,,,,
F,0.0023,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0005,,,,,
M,0.0002,,,,,M,0.0005,,,,,
F,0.0007,,,,,M,0.0002,,,,,
M,0.0015,,,,,M,0.0001,,,,,
F,0.0005,,,,,M,0.0013,,,,,
M,0.0019,,,,,M,0.0027,,,,,
M,0.0005,,,,,M,0.0012,,,,,
M,0.0003,,,,,M,0.0177,,,,,
M,0.0005,,,,,M,0.001,,,,,
M,0.0031,,,,,M,0.0007,,,,,
F,0.0001,,,,,M,0.0021,,,,,
M,0.0001,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0.0016,,,,,
M,0.0005,,,,,M,0.0058,,,,,
M,0.0001,,,,,M,0.0003,,,,,
M,0,,,,,M,0.0003,,,,,
F,0.002,,,,,M,0.0002,,,,,
M,0.0019,,,,,M,0.0002,,,,,
M,0.0021,,,,,M,0.001,,,,,
M,0.0005,,,,,M,0.0026,,,,,
F,0.0003,,,,,M,0.0031,,,,,
F,0.0002,,,,,M,0.0018,,,,,
M,0.0001,,,,,M,0.0088,,,,,
M,0.0069,,,,,M,0,,,,,
M,0.0008,,,,,M,0,,,,,
M,0.0007,,,,,M,0.0021,,,,,
M,0.0011,,,,,M,0.2744,,,,,
F,0.0033,,,,,M,0.0011,,,,,
M,0.0031,,,,,M,0.0032,,,,,
M,0.0003,,,,,M,0.001,,,,,
M,0.0024,,,,,M,0.0003,,,,,
M,0.0001,,,,,M,0.0003,,,,,
F,0.0001,,,,,M,0.0028,,,,,
M,0.0007,,,,,M,0.0002,,,,,
M,0.0006,,,,,M,0.001,,,,,
M,0.0008,,,,,M,0.0034,,,,,
M,0.0013,,,,,M,0.0003,,,,,
M,0.0047,,,,,M,0.0001,,,,,
M,0.0009,,,,,M,0.0023,,,,,
F,0.0001,,,,,M,0.0046,,,,,
M,0.0004,,,,,M,0.0003,,,,,
M,0.0001,,,,,M,0.0011,,,,,
M,0.0005,,,,,M,0.0002,,,,,
M,0.0005,,,,,M,0.0003,,,,,
M,0.0002,,,,,M,0.0009,,,,,
M,0.0001,,,,,M,0,,,,,
F,0.0008,,,,,M,0,,,,,
M,0.0013,,,,,M,0.0047,,,,,
M,0.0027,,,,,M,0.0002,,,,,
M,0.0012,,,,,M,0.0003,,,,,
M,0.0177,,,,,M,0.0018,,,,,
M,0.001,,,,,M,0.0003,,,,,
M,0.0007,,,,,M,0.001,,,,,
M,0.0021,,,,,M,0.0059,,,,,
F,0.0001,,,,,M,0,,,,,
F,0.0002,,,,,M,0.0001,,,,,
F,0.0016,,,,,M,0.0001,,,,,
F,0.0002,,,,,M,0.0003,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0016,,,,,M,0.0002,,,,,
M,0.0058,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0.0015,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0,,,,,
M,0.0002,,,,,M,0.0003,,,,,
M,0.001,,,,,M,0.0001,,,,,
M,0.0026,,,,,M,0.0013,,,,,
F,0.0122,,,,,M,0.0001,,,,,
M,0.0031,,,,,M,0.0001,,,,,
M,0.0018,,,,,M,0.001,,,,,
M,0.0088,,,,,M,0.0003,,,,,
M,0,,,,,M,0.0002,,,,,
M,0,,,,,M,0.0024,,,,,
F,0.0003,,,,,M,0.0004,,,,,
F,0.0002,,,,,M,0.0017,,,,,
M,0.0021,,,,,M,0.0016,,,,,
M,0.2744,,,,,M,0.0019,,,,,
F,0.0002,,,,,M,0.0003,,,,,
M,0.0011,,,,,M,0.0013,,,,,
M,0.0032,,,,,M,0.0017,,,,,
M,0.001,,,,,M,0.0003,,,,,
M,0.0003,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0.0003,,,,,
M,0.0028,,,,,M,0.0011,,,,,
F,0.003,,,,,M,0.0012,,,,,
M,0.0002,,,,,M,0.0405,,,,,
M,0.001,,,,,M,0,,,,,
M,0.0034,,,,,M,0.0001,,,,,
F,0.0018,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0006,,,,,
M,0.0023,,,,,M,0.0007,,,,,
F,0.0005,,,,,M,0.0041,,,,,
M,0.0046,,,,,M,0.0358,,,,,
F,0.0007,,,,,M,0.0023,,,,,
M,0.0003,,,,,M,0.0048,,,,,
F,0.0218,,,,,M,0.0003,,,,,
M,0.0011,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0.0599,,,,,
F,0.0021,,,,,M,0.0004,,,,,
F,0.0014,,,,,M,0.0015,,,,,
F,0.0001,,,,,M,0.0004,,,,,
M,0.0009,,,,,M,0.0012,,,,,
M,0,,,,,M,0.0011,,,,,
F,0.0007,,,,,M,0.0008,,,,,
M,0,,,,,M,0.0009,,,,,
M,0.0047,,,,,M,0.0005,,,,,
M,0.0002,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0.0004,,,,,
M,0.0018,,,,,M,0.0007,,,,,
M,0.0003,,,,,M,0.0009,,,,,
M,0.001,,,,,M,0.0006,,,,,
M,0.0059,,,,,M,0.001,,,,,
M,0,,,,,M,0.0003,,,,,
M,0.0001,,,,,M,0.0003,,,,,
F,0.0001,,,,,M,0.0006,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0,,,,,
M,0,,,,,M,0,,,,,
M,0.0002,,,,,M,0.0001,,,,,
M,0.0002,,,,,M,0.2391,,,,,
M,0.0015,,,,,M,0.0027,,,,,
M,0.0001,,,,,M,0.0005,,,,,
F,0.0143,,,,,M,0.0001,,,,,
F,0.0001,,,,,M,0.0004,,,,,
M,0,,,,,M,0.0004,,,,,
M,0.0003,,,,,M,0.0018,,,,,
F,0.0124,,,,,M,0.0001,,,,,
M,0.0001,,,,,M,0.0007,,,,,
M,0.0013,,,,,M,0.0008,,,,,
F,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0.0036,,,,,
M,0.0001,,,,,M,0.0011,,,,,
M,0.001,,,,,M,0.0001,,,,,
M,0.0003,,,,,M,0.0006,,,,,
F,0.0084,,,,,M,0.0003,,,,,
M,0.0002,,,,,M,0.0006,,,,,
M,0.0024,,,,,M,0.0008,,,,,
M,0.0004,,,,,M,0.0012,,,,,
M,0.0017,,,,,M,0.0015,,,,,
M,0.0016,,,,,M,0.0011,,,,,
M,0.0019,,,,,M,0.005,,,,,
M,0.0003,,,,,M,0.0002,,,,,
M,0.0013,,,,,M,0.0004,,,,,
M,0.0017,,,,,M,0.0004,,,,,
M,0.0003,,,,,M,0.0004,,,,,
F,0.0062,,,,,M,0,,,,,
M,0.0001,,,,,M,0.0002,,,,,
M,0.0003,,,,,M,0,,,,,
M,0.0011,,,,,M,0.0007,,,,,
M,0.0012,,,,,M,0,,,,,
M,0.0405,,,,,M,0.0169,,,,,
M,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0.0031,,,,,
M,0.0001,,,,,M,0.0016,,,,,
M,0,,,,,M,0,,,,,
M,0.0006,,,,,M,0.0003,,,,,
M,0.0007,,,,,M,0.0005,,,,,
M,0.0041,,,,,M,0.0003,,,,,
M,0.0358,,,,,M,0.0007,,,,,
M,0.0023,,,,,M,0,,,,,
M,0.0048,,,,,M,0.0007,,,,,
M,0.0003,,,,,M,0.0039,,,,,
F,0.0008,,,,,M,0.0043,,,,,
F,0,,,,,M,0.0004,,,,,
M,0.0001,,,,,M,0.002,,,,,
M,0.0002,,,,,M,0,,,,,
M,0.0599,,,,,M,0,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0015,,,,,M,0.0002,,,,,
M,0.0004,,,,,M,0,,,,,
M,0.0012,,,,,M,0.0004,,,,,
M,0.0011,,,,,M,0.0019,,,,,
M,0.0008,,,,,M,0.0004,,,,,
