R,4113,,,,,,,,,,,,,
D,742,,,,,,,,,,,,,
D,272,,,,,,,,,,,,,
R,1495,,,,,,,,,,,,,
D,315,,,,,,,,,,,,,
R,129,,,,,,,,,,,,,
R,1042,,,,,,,,,,,,,
D,45,,,,,,,,,,,,,
D,775,,,,,,,,,,,,,
D,12,,,,,,,,,,,,,
D,73,,,,,,,,,,,,,
D,5,,,,,,,,,,,,,
D,41,,,,,,,,,,,,,
D,178,,,,,,,,,,,,,
R,0,,,,,,,,,,,,,
R,2439,,,,,,,,,,,,,
R,214,,,,,,,,,,,,,
R,172,,,,,,,,,,,,,
R,378,,,,,,,,,,,,,
D,149,,,,,,,,,,,,,
R,1304,,,,,,,,,,,,,
D,666,,,,,,,,,,,,,
D,493,,,,,,,,,,,,,
D,0,,,,,,,,,,,,,
D,253,,,,,,,,,,,,,
R,48,,,,,,,,,,,,,
R,1648,,,,,,,,,,,,,
D,2323,,,,,,,,,,,,,
R,506,,,,,,,,,,,,,
D,165,,,,,,,,,,,,,
R,3126,,,,,,,,,,,,,
R,473,,,,,,,,,,,,,
D,68,,,,,,,,,,,,,
R,2200,,,,,,,,,,,,,
D,313,,,,,,,,,,,,,
D,5050,,,,,,,,,,,,,
D,254,,,,,,,,,,,,,
D,222,,,,,,,,,,,,,
R,930,,,,,,,,,,,,,
R,1291,,,,,,,,,,,,,
R,1130,,,,,,,,,,,,,
R,226,,,,,,,,,,,,,
D,179,,,,,,,,,,,,,
R,356,,,,,,,,,,,,,
R,791,,,,,,,,,,,,,
D,185,,,,,,,,,,,,,
D,1462,,,,,,,,,,,,,
D,2679,,,,,,,,,,,,,
D,0,,,,,,,,,,,,,
D,134,,,,,,,,,,,,,
R,416,,,,,,,,,,,,,
D,624,,,,,,,,,,,,,
R,320,,,,,,,,,,,,,
R,952,,,,,,,,,,,,,
D,206,,,,,,,,,,,,,
R,387,,,,,,,,,,,,,
D,118,,,,,,,,,,,,,
R,1,,,,,,,,,,,,,
R,153,,,,,,,,,,,,,
R,2878,,,,,,,,,,,,,
D,937,,,,,,,,,,,,,
D,983,,,,,,,,,,,,,
R,3088,,,,,,,,,,,,,
R,4185,,,,,,,,,,,,,
R,181,,,,,,,,,,,,,
R,4322,,,,,,,,,,,,,
R,128,,,,,,,,,,,,,
R,477,,,,,,,,,,,,,
R,511,,,,,,,,,,,,,
D,1319,,,,,,,,,,,,,
R,1625,,,,,,,,,,,,,
R,849,,,,,,,,,,,,,
R,2999,,,,,,,,,,,,,
R,1409,,,,,,,,,,,,,
R,34,,,,,,,,,,,,,
R,91,,,,,,,,,,,,,
R,215,,,,,,,,,,,,,
R,293,,,,,,,,,,,,,
D,1,,,,,,,,,,,,,
R,306,,,,,,,,,,,,,
D,11999,,,,,,,,,,,,,
I,1114,,,,,,,,,,,,,
D,27825,,,,,,,,,,,,,
D,847,,,,,,,,,,,,,
R,165,,,,,,,,,,,,,
