repswalwell,753,1959,939,7.52689390432
BennieGThompson,167,2528,135,44.994462963
MacTXPress,224,1488,695,21.4306890432
senjohnthune,800,17633,271,25.9001408179
RepTierney,526,3220,215,21.0341925154
LEETERRYNE,2208,6430,476,54.8591165123
SenToomey,1547,23005,16395,31.2906431327
tiberipress,240,497,234,7.96911844136
RepMikeTurner,1202,3858,569,48.6604830247
nikiinthehouse,1479,4858,704,29.3928375772
CongressmanGT,2439,6962,329,54.1151165123
repdinatitus,396,2786,157,40.0593175154
PaulTonko,761,5433,1052,44.7658125
RepTipton,539,4052,1133,29.3941354167
RepMarkTakano,206,1453,770,6.03448572531
RepFredUpton,1069,7682,2416,39.8322573302
MarkUdall,2659,22533,201,71.496523534
SenatorTomUdall,1177,10375,5,47.6147600309
NydiaVelazquez,96,2889,131,36.097912037
repvisclosky,1023,2814,813,33.5602638889
chrisvanhollen,587,12976,2221,55.1011041667
RepDavidValadao,128,600,91,4.93261496914
RepVeasey,320,961,475,5.56663811728
RepFilemonVela,50,540,20,5.46583641975
MaxineWaters,850,17893,858,50.5687615741
MelWattNC12,25,1879,0,28.391630787
WaxmanClimate,342,2000,162,10.0615046296
repedwhitfield,120,2212,130,30.0252627315
senatorwicker,803,7442,277,27.9011408179
RepWOLFPress,156,3415,373,29.827224537
RonWyden,700,18849,260,28.8662056327
repgregwalden,605,8125,151,51.0323337191
USRepJoeWilson,259,2277,244,28.6006863426
repwestmoreland,1289,4679,440,38.5326107253
RepWalberg,1032,5451,323,29.7935648148
SenWhitehouse,1003,11290,1289,29.4193611111
RobWittman,3677,11172,6376,60.4310798611
MarkWarner,2542,40198,11153,72.5038179012
RepWebster,1033,3112,324,26.8041994599
RepWilson,1081,4648,1146,30.0981566358
Rep_SteveWomack,1516,5362,634,30.0623954475
RepAnnWagner,362,2047,708,5.85525
RepWalorski,568,1111,572,5.66682638889
TXRandy14,308,614,88,5.7670945216
RepBradWenstrup,417,677,256,15.799152392
RepRWilliams,218,453,163,5.52840895062
senwarren,114,26197,226,7.06745833333
repdonyoung,618,5985,336,50.5309498457
RepJohnYarmuth,762,4947,207,21.0023391204
RepKevinYoder,2611,5064,1077,28.6885189043
RepToddYoung,1273,4739,343,30.0905887346
RepTedYoho,115,1072,339,5.59359760802
